"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"1",-0.608893630531145,2.45869741901337,1.7891180570768,0.555538535612254,0.38795547144174
"2",0.285725869989884,-0.275102824948953,0.0406978173143286,-0.141821132497329,-0.571666947086885
"3",-0.443603468441036,-0.497897393977616,0.361373964171684,0.793630862129804,0.0596203930482637
"4",-0.464643107385736,-0.188291329063571,0.189460417190227,1.36961781147202,0.264820548105195
"5",0.235685289558395,0.340794151539193,-0.110095996165207,0.449815447566304,0.109411873384869
"6",-0.878013583967749,-0.3191167665151,0.108180308276394,-0.522914926120043,-0.480331964174852
"7",0.210329236366055,-0.538927595439238,0.221564290124434,0.244967055328599,0.148501893325745
"8",-0.0649758500916508,-0.373659705097322,-0.076805536400375,0.083147689414405,-0.174474775159193
"9",0.563441363501194,-0.0195143228412347,0.121787261471115,-0.248210807588514,-0.324963890065063
"10",-0.682778324410968,-0.139055562896875,-0.567126641301609,-0.869594031777306,-0.0139554814736908
"11",-0.464643107385728,-0.188291329063572,0.189460417190225,1.36961781147201,0.264820548105209
"12",0.285725869989885,-0.275102824948955,0.0406978173143291,-0.141821132497326,-0.571666947086887
"13",0.295450045199263,-0.208406847396121,-0.288560999962913,0.673662808394942,-0.201001790762554
"14",-0.857507030736442,-0.174564045650487,-0.687156190700297,-1.03513176567294,0.514788330314311
"15",0.292696192913306,0.119290656720738,-0.172367545213154,0.140312807493352,-0.917046005430494
"16",-0.0316557261320354,-0.43026707199533,0.138887705296511,0.155456485531087,-0.0378835245524277
"17",0.238567702797868,0.226668721349503,0.298913382788047,0.0716944887456438,-0.58177821762814
"18",0.00526298488138695,0.0696031640404387,0.243532545822811,-0.07817534962883,-0.318527954879439
"19",0.563441363501191,-0.0195143228412342,0.121787261471112,-0.248210807588514,-0.324963890065064
"20",0.356597884454984,-0.619768837620857,0.220508085245719,0.542596678379949,0.060534635379767
"21",0.318433355045278,-0.362851630812774,-0.0986113230360597,0.697639253607265,0.153680254462578
"22",-0.117362866404584,-0.0769290400349935,0.0158650955341131,0.810086010801164,-0.0403154241145701
"23",0.0967121271700514,0.066978239575339,-0.0489666525117117,-0.236387687736119,-0.0513291034684014
"24",0.488340167030687,0.0210882827738696,-0.388405624450703,-0.836976289850886,0.46241302986447
"25",0.0967121271700506,0.0669782395753403,-0.0489666525117147,-0.236387687736121,-0.0513291034684014
"26",-1.29062831461869,-0.176590452365807,0.383631656887842,-0.150655381973398,0.583005482547331
"27",0.524400696310334,-0.213916955541309,0.0681867411064484,-0.312839388797283,0.0944953397575399
"28",0.354183318669865,-0.24829234754752,0.379392024994878,-0.177069461333364,0.161493947815031
"29",0.53018022619681,-0.0666605729154544,-0.272458395798506,0.0279960705981899,0.168499080131558
"30",0.810198855778214,0.916841057150506,-0.382809847135238,-0.164105692315815,0.565208370828562
"31",0.731716663592309,-0.300730304777898,0.375631858544061,-0.633623272485395,-0.16008819359309
"32",0.210329236366063,-0.538927595439238,0.221564290124435,0.244967055328603,0.148501893325741
"33",0.190786180361569,-0.189762108593259,0.214217350446652,0.299156916457363,-0.197255015063507
"34",-0.347188442276831,-0.116115189299364,0.280946058431246,0.583928840934835,0.130104756822262
"35",-0.969643908756988,0.257247529313421,-0.190763023584644,-0.285615968100301,-0.137041475864743
"36",0.210329236366062,-0.538927595439237,0.221564290124436,0.244967055328603,0.148501893325742
